3,1,PG-DBDA,ACP
4,1,PG-DAC,ACP
5,1,PG-DBDA,ACN
5,2,PG-DAC,SIP
5,3,PG-DAC,SIK
6,1,PG-DMC,SIP
11,1,PG-DESD,ACN
11,2,PG-DBDA,SIP
11,3,PG-DESD,SIP
11,4,PG-DMC,SIP
12,1,PG-DAC,ACP
12,2,PG-DESD,ACP
13,1,PG-DBDA,ACP
13,2,PG-DMC,SIP
13,3,PG-DBDA,ACN
14,1,PG-DAC,ACP
14,2,PG-DAC,SIP
14,3,PG-DMC,SIP
14,4,PG-DESD,ACP
17,1,PG-DBDA,SIP
18,1,PG-DAC,SIK
18,2,PG-DAC,ACN
21,1,PG-DAC,ACN
21,2,PG-DMC,SIP
21,3,PG-DAC,SIK
24,1,PG-DAC,SIP
26,1,PG-DESD,SIP
26,2,PG-DMC,SIP
28,1,PG-DGI,ACN
28,2,PG-DBDA,SIP
30,1,PG-DAC,ACP
30,2,PG-DBDA,SIP
31,1,PG-DGI,ACN
31,2,PG-DMC,SIP
32,1,PG-DAC,ACP
33,1,PG-DAC,SIK
33,2,PG-DBDA,ACN
36,1,PG-DMC,SIP
37,1,PG-DAC,SIK
37,2,PG-DAC,SIP
37,3,PG-DBDA,SIP
37,4,PG-DGI,ACN
37,5,PG-DMC,SIP
39,1,PG-DBDA,SIP
39,2,PG-DGI,ACN
41,1,PG-DBDA,ACP
41,2,PG-DAC,SIK
42,1,PG-DAC,SIP
43,1,PG-DBDA,ACP
44,1,PG-DBDA,ACP
45,1,PG-DESD,ACP
45,2,PG-DBDA,ACP
45,3,PG-DBDA,ACN
47,1,PG-DESD,SIP
48,1,PG-DGI,ACN
48,2,PG-DBDA,ACP
50,1,PG-DGI,ACN
50,2,PG-DAC,ACN
50,3,PG-DAC,ACP
50,4,PG-DMC,SIP
50,5,PG-DESD,SIP
52,1,PG-DMC,SIP
52,2,PG-DBDA,ACN
53,1,PG-DBDA,ACP
54,1,PG-DGI,ACN
55,1,PG-DBDA,ACP
55,2,PG-DGI,ACN
55,3,PG-DESD,ACN
56,1,PG-DAC,ACP
57,1,PG-DMC,SIP
57,2,PG-DBDA,ACP
57,3,PG-DGI,ACN
57,4,PG-DAC,ACN
59,1,PG-DGI,ACN
59,2,PG-DMC,SIP
59,3,PG-DAC,SIK
63,1,PG-DESD,SIP
64,1,PG-DBDA,ACP
64,2,PG-DBDA,ACN
64,3,PG-DAC,ACP
69,1,PG-DAC,ACP
69,2,PG-DBDA,SIP
69,3,PG-DAC,ACN
70,1,PG-DMC,SIP
70,2,PG-DESD,ACP
70,3,PG-DESD,ACN
70,4,PG-DAC,ACP
72,1,PG-DESD,SIP
73,1,PG-DMC,SIP
73,2,PG-DESD,ACP
73,3,PG-DESD,SIP
75,1,PG-DBDA,ACP
75,2,PG-DAC,ACP
76,1,PG-DAC,SIK
